"%s was successfully added to your shopping cart.","%s je uspješno dodan u vašu košaricu."
"&laquo; Back to Billing Information","&laquo; Povratak na informacije o fakturiranju"
"&laquo; Back to Select Addresses","&laquo; Povratak na odabir adresa"
"&laquo; Back to Shopping Cart","&laquo; Povratak u košaricu"
"* Required Fields","* Obavezno popuniti"
"Add New Address","Dodaj novu adresu"
"Add New Condition","Add New Condition"
"Add to Cart","Dodaj u košaricu"
"Add to Compare","Dodaj za usporedbu"
"Add to Wishlist","Dodaj na Listu želja"
"Address","Adresa"
"Address %s of %s","Adresa %s od %s"
"After adding a product redirect to shopping cart","Poslije dodavanja proizvoda preusmjeri na košaricu"
"Allow Guest Checkout","Dopusti naplatu Gostu"
"Already registered?","Već ste registrirani?"
"An error occurred in the process of payment","Došlo je do greške pri naplati"
"Apply Coupon","Iskoristite kupon"
"Are you sure you would like to remove this item from the shopping cart?","Jeste li sigurni da želiti ukloniti ovaj artikl iz košarice?"
"Back","Povratak"
"Back to Shipping Information","Povratak na informacije o transportu"
"Based on your selection, you may be interested in the following items:","Možda će vas zanimati i sljedeći artikli:"
"Billing Address","Adresa plaćanja"
"Billing Information","Informacije o plaćanju"
"Billing Information - %s","Informacije o plaćanju - %s"
"Can not add item to shopping cart","Artikl nije moguće dodati u košaricu"
"Can not apply coupon code.","Ne mogu iskoristiti kupon."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Otkaži kupon"
"Cannot remove item","Artikl se ne može ukloniti"
"Cannot update shopping cart","Košarica se ne može promijeniti"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart", "Košarica"
"Cart Subtotal:","Ukupno:"
"Change","Change"
"Change Billing Address","Promijeni adresu na računu"
"Checkbox text","Checkbox text"
"Checkout","Naplata"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Opcije naplate"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Naplata kao Gost"
"Checkout as a Guest or Register","Izvršite plaćanje kao Gost ili se registrirajte"
"Checkout method","Način naplate"
"Checkout with Multiple Addresses","Naplata uz višestruke adrese"
"City","Grad"
"Click <a href=""%s"">here</a> to continue shopping.","Kliknite <a href=""%s"">ovdje</a> za nastavak kupovine."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","Zatvori"
"Company","Poduzeće"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Slika konfigurabilnog proizvoda"
"Confirm Password","Potvrdi lozinku"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Nastavi"
"Continue Shopping","Nastavi kupnju"
"Continue to Billing Information","Nastavi s informacijama o plaćanju"
"Continue to Review Your Order","Nastavite s pregledom vaše narudžbe"
